Hugo_Symbol,TCGA-AO-A12D,TCGA-BH-A18Q,TCGA-C8-A130,TCGA-C8-A138,TCGA-E2-A154,TCGA-C8-A12L,TCGA-A2-A0EX,TCGA-AN-A04A,TCGA-BH-A0AV,TCGA-C8-A12T,TCGA-A8-A06Z,TCGA-A2-A0CM,TCGA-BH-A18U,TCGA-A2-A0EQ,TCGA-AR-A0U4,TCGA-AO-A0J9,TCGA-AR-A1AP,TCGA-AN-A0FK,TCGA-AO-A0J6,TCGA-A7-A13F,TCGA-BH-A0E1,TCGA-A7-A0CE,TCGA-A2-A0YC,TCGA-AO-A0JC,TCGA-A8-A08Z,TCGA-AR-A0TX,TCGA-A8-A076,TCGA-AO-A126,TCGA-BH-A0C1,TCGA-A2-A0EY,TCGA-AR-A1AW,TCGA-AR-A1AV,TCGA-C8-A135,TCGA-A2-A0EV,TCGA-AN-A0AM,TCGA-D8-A142,TCGA-AN-A0FL,TCGA-BH-A0DG,TCGA-AR-A0TV,TCGA-C8-A12Z,TCGA-AO-A0JJ,TCGA-AO-A0JE,TCGA-AN-A0AJ,TCGA-A7-A0CJ,TCGA-AO-A12F,TCGA-A8-A079,TCGA-A2-A0T3,TCGA-A2-A0YD,TCGA-AR-A0TR,TCGA-AO-A03O,TCGA-AO-A12E,TCGA-A8-A06N,TCGA-A2-A0YG,TCGA-BH-A18N,TCGA-AN-A0AL,TCGA-A2-A0T6,TCGA-E2-A158,TCGA-AO-A0JM,TCGA-C8-A12V,TCGA-A2-A0D2,TCGA-C8-A12U,TCGA-AR-A1AS,TCGA-A8-A09G,TCGA-C8-A131,TCGA-C8-A134,TCGA-A2-A0YF,TCGA-BH-A0DD,TCGA-BH-A0E9,TCGA-AR-A0TT,TCGA-AO-A12B,TCGA-A2-A0SW,TCGA-AO-A0JL,TCGA-BH-A0BV,TCGA-A2-A0YM,TCGA-BH-A0C7,TCGA-A2-A0SX
CCNL2,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
CDC2L1,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
CDC2L2,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
CPSF3L,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
DVL1,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
FAM132A,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
FAM138A,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FAM138C,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FAM138F,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FAM41C,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
FLJ39609,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
GLTPD1,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
GNB1,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
HES4,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
ISG15,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
KLHL17,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
LOC100128842,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
LOC100132062,0,-1,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,1,-1,0,2,-1,-1,0,0,0,0,-1,0,1,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,1,-1,0,0,0,0
LOC100132287,0,-1,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,1,-1,0,2,-1,-1,0,0,0,0,-1,0,1,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,1,-1,0,0,0,0
LOC100133331,0,-1,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,1,-1,0,2,-1,-1,0,0,0,0,-1,0,1,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,1,-1,0,0,0,0
LOC100288778,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LOC148413,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
LOC441869,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
LOC643837,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
LOC728661,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
MIB2,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
MIR200A,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
MIR200B,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
MIR429,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
MMP23A,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
MMP23B,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
MRPL20,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
MXRA8,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
NADK,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
NCRNA00115,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
NOC2L,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
OR4F16,0,-1,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,1,-1,0,2,-1,-1,0,0,0,0,-1,0,1,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,1,-1,0,0,0,0
OR4F29,0,-1,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,1,-1,0,2,-1,-1,0,0,0,0,-1,0,1,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,1,-1,0,0,0,0
OR4F3,0,-1,-1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,1,-1,0,2,-1,-1,0,0,0,0,-1,0,1,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,1,-1,0,0,0,0
OR4F5,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
PLEKHN1,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
PUSL1,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
SAMD11,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
SCNN1D,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
SDF4,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
SLC35E2,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
SSU72,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
TAS1R3,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
TMEM88B,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
TNFRSF18,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
TNFRSF4,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
TTLL10,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
UBE2J2,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
VWA1,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
WASH5P,0,-1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0
hsa-mir-1302-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
